,"Variable:/:A:Value"
97.3999999999987,303.34
97.4999999999987,303.1
97.5999999999987,302.82
97.6999999999987,302.44
97.7999999999987,302.18
97.8999999999987,302
97.9999999999987,301.66
98.0999999999987,301.44
98.1999999999987,301.06
98.2999999999987,300.8
98.3999999999987,300.52
98.4999999999987,300.24
98.5999999999987,299.9
98.6999999999987,299.56
98.7999999999987,299.42
98.8999999999987,299.1
98.9999999999986,298.8
99.0999999999986,298.6
99.1999999999986,298.28
99.2999999999986,298
99.3999999999986,297.66
99.4999999999986,297.4
99.5999999999986,297.14
99.6999999999986,296.8
99.7999999999986,296.64
99.8999999999986,296.32
99.9999999999986,295.94
